time_range,rank,artist_name,spotify_id,spotify_uri,spotify_url
short_term,1,Bad Omens,3Ri4H12KFyu98LMjSoij5V,spotify:artist:3Ri4H12KFyu98LMjSoij5V,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V
short_term,2,Sleep Token,2n2RSaZqBuUUukhbLlpnE6,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,https://open.spotify.com/artist/2n2RSaZqBuUUukhbLlpnE6
short_term,3,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,spotify:artist:181bsRPaVXVlUKXrxwZfHK,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK
short_term,4,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP,https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP
short_term,5,Paramore,74XFHRwlV6OrjEM0A2NCMF,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF
short_term,6,Cardi B,4kYSro6naA4h99UJvo89HB,spotify:artist:4kYSro6naA4h99UJvo89HB,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
short_term,7,BOYS LIKE GIRLS,0vWCyXMrrvMlCcepuOJaGI,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,https://open.spotify.com/artist/0vWCyXMrrvMlCcepuOJaGI
short_term,8,Evanescence,5nGIFgo0shDenQYSE0Sn7c,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,https://open.spotify.com/artist/5nGIFgo0shDenQYSE0Sn7c
short_term,9,PierceTheSkies,3aJN1nL3j6SlzSwYti3bvq,spotify:artist:3aJN1nL3j6SlzSwYti3bvq,https://open.spotify.com/artist/3aJN1nL3j6SlzSwYti3bvq
short_term,10,CORPSE,7yntSJ6uojO3z6GFUVwhAW,spotify:artist:7yntSJ6uojO3z6GFUVwhAW,https://open.spotify.com/artist/7yntSJ6uojO3z6GFUVwhAW
short_term,11,City Girls,37hAfseJWi0G3Scife12Il,spotify:artist:37hAfseJWi0G3Scife12Il,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
medium_term,1,Sleep Token,2n2RSaZqBuUUukhbLlpnE6,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,https://open.spotify.com/artist/2n2RSaZqBuUUukhbLlpnE6
medium_term,2,Bad Omens,3Ri4H12KFyu98LMjSoij5V,spotify:artist:3Ri4H12KFyu98LMjSoij5V,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V
