time_range,rank,track_name,track_id,artist_names,album_name,album_release_date,duration_ms,explicit,isrc,spotify_url,album_image_url
short_term,1,Body,0FlcmZ13DGRmscCroro9GO,Don Toliver,OCTANE,2026-01-30,155753,True,USAT22600118,https://open.spotify.com/track/0FlcmZ13DGRmscCroro9GO,https://i.scdn.co/image/ab67616d0000b27325c28f3c9fbdbab1a88dd619
short_term,2,Left For Good,4pjSe7n2609YnMWnrJ3OVJ,Bad Omens,Left For Good,2025-11-18,233737,True,USYFZ2568301,https://open.spotify.com/track/4pjSe7n2609YnMWnrJ3OVJ,https://i.scdn.co/image/ab67616d0000b2735b74e67b65336e30c0330804
short_term,3,Roc Steady (feat. Flo Milli),4jCKLCyhHjrzz6be6NDhrd,"Megan Thee Stallion, Flo Milli",MEGAN: ACT II,2024-10-25,139193,True,USAT22409892,https://open.spotify.com/track/4jCKLCyhHjrzz6be6NDhrd,https://i.scdn.co/image/ab67616d0000b27342798d21bc473f0b75094769
short_term,4,Dethrone,7snWQ5w7rOx5ZhERKIyOuF,Bad Omens,Finding God Before God Finds Me,2019-08-02,209134,True,USYFZ1917805,https://open.spotify.com/track/7snWQ5w7rOx5ZhERKIyOuF,https://i.scdn.co/image/ab67616d0000b273843a7e1e66dd95de1957c579
short_term,5,Reprise (The Sound Of The End),2ZhiSzHw2FY7iwOcXDcAx5,Bad Omens,Bad Omens,2016-08-19,201970,True,USYFZ1566211,https://open.spotify.com/track/2ZhiSzHw2FY7iwOcXDcAx5,https://i.scdn.co/image/ab67616d0000b273ef21fc72f79bbe39944c6dba
short_term,6,Glass Houses,4VOA0YvFYuNV0WkShiGAr1,Bad Omens,Bad Omens,2016-08-19,240898,True,USYFZ1566201,https://open.spotify.com/track/4VOA0YvFYuNV0WkShiGAr1,https://i.scdn.co/image/ab67616d0000b273ef21fc72f79bbe39944c6dba
short_term,7,Nowhere To Go,7CFb7ZKNFYe7jXYEZzE8Sy,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,246774,True,USYFZ2264202,https://open.spotify.com/track/7CFb7ZKNFYe7jXYEZzE8Sy,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,8,Just Pretend,31rneVrsMC6jefCoDyQKam,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,204676,False,USYFZ2264208,https://open.spotify.com/track/31rneVrsMC6jefCoDyQKam,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,9,Specter,5krhWYmWIKJhI96deUujm8,Bad Omens,Specter,2025-08-09,274408,False,USYFZ2559001,https://open.spotify.com/track/5krhWYmWIKJhI96deUujm8,https://i.scdn.co/image/ab67616d0000b273291facfe6e704c2a78d36782
short_term,10,Nazareth,2S53xe3CB5RgDELKeU97g0,Sleep Token,Two,2017-07-21,336840,True,UK2D51700056,https://open.spotify.com/track/2S53xe3CB5RgDELKeU97g0,https://i.scdn.co/image/ab67616d0000b27359bd201a6732ae903d3b7f7a
short_term,11,Like A Villain,7h2EZbGSzzIGgAFzJXHz99,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,210685,True,USYFZ2264206,https://open.spotify.com/track/7h2EZbGSzzIGgAFzJXHz99,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,12,Dethrone (Live),5SfdrItsdmHS2dCj3nOJgG,Bad Omens,LIVE,2021-07-22,238400,True,USYFZ2147406,https://open.spotify.com/track/5SfdrItsdmHS2dCj3nOJgG,https://i.scdn.co/image/ab67616d0000b273927c836d5eb132b4261c6c66
short_term,13,Ain't No Love In Oklahoma (From Twisters: The Album),6GG4yyk3UATdBfTHVgI8PB,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,210950,False,USAT22402805,https://open.spotify.com/track/6GG4yyk3UATdBfTHVgI8PB,https://i.scdn.co/image/ab67616d0000b2736f555ba312f3317dcbaa2cb9
short_term,14,Exit Wounds,1LDZv08sY01M611fLXcWr0,Bad Omens,Bad Omens,2016-08-19,206290,True,USYFZ1566202,https://open.spotify.com/track/1LDZv08sY01M611fLXcWr0,https://i.scdn.co/image/ab67616d0000b273ef21fc72f79bbe39944c6dba
short_term,15,Glass Houses (Live),04R2eni6SrqN9E78YyP1dZ,Bad Omens,LIVE,2021-07-22,253565,True,USYFZ2147401,https://open.spotify.com/track/04R2eni6SrqN9E78YyP1dZ,https://i.scdn.co/image/ab67616d0000b273927c836d5eb132b4261c6c66
short_term,16,The Worst In Me (Live),0HFW6jFrtUFMWbOIJzUaVF,Bad Omens,LIVE,2021-07-22,262941,False,USYFZ2147402,https://open.spotify.com/track/0HFW6jFrtUFMWbOIJzUaVF,https://i.scdn.co/image/ab67616d0000b273927c836d5eb132b4261c6c66
short_term,17,Limits,20eY1iHCeGknUmolCjYFoG,Bad Omens,Finding God Before God Finds Me (Deluxe),2020-01-17,207854,False,USYFZ2028402,https://open.spotify.com/track/20eY1iHCeGknUmolCjYFoG,https://i.scdn.co/image/ab67616d0000b2736281799d359abcda6272604a
short_term,18,Where Them Girls At,2OUK5td58k4BV2GvFdfdzr,Megan Thee Stallion,MEGAN,2024-06-28,191711,True,USAT22405473,https://open.spotify.com/track/2OUK5td58k4BV2GvFdfdzr,https://i.scdn.co/image/ab67616d0000b2730f25bf2a1522d667cec532da
short_term,19,THE DEATH OF PEACE OF MIND,4otwFzkVBdVNTBu7gxJA4A,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,241499,True,USYFZ2264204,https://open.spotify.com/track/4otwFzkVBdVNTBu7gxJA4A,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,20,Take Me First,5niq3p5CyfhApzRbLVGWYI,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,199685,False,USYFZ2264203,https://open.spotify.com/track/5niq3p5CyfhApzRbLVGWYI,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,21,NOWHERE TO GO (LIVE 2024),0tUI3e9jDFf3NNF5JDlW07,Bad Omens,CONCRETE JUNGLE [THE OST],2024-05-31,294000,True,USYFZ2408322,https://open.spotify.com/track/0tUI3e9jDFf3NNF5JDlW07,https://i.scdn.co/image/ab67616d0000b2737400362388ac9ab2a807e597
short_term,22,Blood,3KOlD8Qyw9cPDzujSw78Bj,Bad Omens,Finding God Before God Finds Me,2019-08-02,230666,True,USYFZ1917806,https://open.spotify.com/track/3KOlD8Qyw9cPDzujSw78Bj,https://i.scdn.co/image/ab67616d0000b273843a7e1e66dd95de1957c579
short_term,23,Damocles,3enIFKYJKSVyjXVzmup28I,Sleep Token,Even In Arcadia,2025-05-09,264836,False,USRC12500020,https://open.spotify.com/track/3enIFKYJKSVyjXVzmup28I,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
short_term,24,Never Know,4ilaaaAMFcKJxDjyYVm74l,Bad Omens,Finding God Before God Finds Me (Deluxe),2020-01-17,213851,False,USYFZ2028401,https://open.spotify.com/track/4ilaaaAMFcKJxDjyYVm74l,https://i.scdn.co/image/ab67616d0000b2736281799d359abcda6272604a
short_term,25,Suffocate,6wUK8WB3cbNUAAGjNmKy3M,"Kayzo, Bad Omens",Suffocate,2020-02-26,179200,True,CA5KR2012288,https://open.spotify.com/track/6wUK8WB3cbNUAAGjNmKy3M,https://i.scdn.co/image/ab67616d0000b27383b23e605f2f8a88b86dbfe7
short_term,26,B*tch From Da Souf (Remix) (feat. Trina),39GH3B0XsTd4SsqT7DJijs,"Latto, Saweetie, Trina",Queen of Da Souf,2020-08-21,224119,True,QZ5FA1950759,https://open.spotify.com/track/39GH3B0XsTd4SsqT7DJijs,https://i.scdn.co/image/ab67616d0000b273f3178cdf4953f654e2cc7330
